"row ID","TP","FP","TN","FN","PPV","TPR","TNR","F1","FPR","FNR","AUC","GMEAN","GMEASURE","ACCURACY","Area Under Curve"
"KNN [Noise + Imputation]",1919,3715,27003,7007,0.340610578629748,0.2149899170961237,0.87906113679276,0.2635989010989011,0.12093886320724005,0.7850100829038763,0.5470255269444417,0.4347289740993804,0.2706064301927658,0.7295429320956512,0.587328931968164
"MLP [Noise + Imputation + Downsample]",5536,11206,19512,3390,0.33066539242623344,0.6202106206587498,0.6351976040106778,0.4313542153654356,0.36480239598932224,0.3797893793412503,0.6277041123347138,0.6276593823280373,0.4528600095692302,0.6318232267177883,0.666820342976135
"C4.5 [Noise + Imputation + Downsample]",5302,12564,18154,3624,0.2967648046568902,0.5939950705803272,0.5909889966794714,0.39578978799641684,0.4090110033205287,0.40600492941967287,0.5924920336298992,0.5924901271707566,0.41985334473828656,0.5916658258500656,0.6012814221910707
"Gradient Boosted [Noise + Imputation + Downsample]",5545,11193,19525,3381,0.3312821125582507,0.6212189110463814,0.6356208086463963,0.4321228179551122,0.36437919135360375,0.3787810889536186,0.6284198598463888,0.628378601311132,0.45365043063198035,0.6323781656745031,0.6780149458875782
"Random Forest [Noise + Imputation + Downsample]",5572,11395,19323,3354,0.32840219249130664,0.6242437822092762,0.6290448596913861,0.43038659097053256,0.3709551403086138,0.3757562177907237,0.6266443209503313,0.6266397229613315,0.45277259935489916,0.6279638785188175,0.6727831780537497
"Adaboost [Noise + Imputation + Downsample]",5089,11094,19624,3837,0.3144657974417599,0.570132198073045,0.6388436747184062,0.40535266239197104,0.36115632528159386,0.42986780192695495,0.6044879363957256,0.6035108520086995,0.4234230465081743,0.6233730198769044,0.6432209147892903
"KNN [Noise + Imputation + Downsample]",4979,12783,17935,3947,0.28031753180948094,0.5578086488908806,0.5838596262777525,0.3731264988009592,0.41614037372224755,0.44219135110911945,0.5708341375843166,0.5706855082056382,0.39542830409452606,0.5779941479164564,0.5928733437857879
"MLP [Noise + Imputation + Smart Downsample]",3286,5201,25517,5640,0.3871803935430659,0.36813802375084026,0.8306855915098639,0.37741916958594157,0.16931440849013607,0.6318619762491597,0.5994118076303521,0.5529981482941323,0.3775391700393707,0.7265412168297851,0.666974346310807
"C4.5 [Noise + Imputation + Smart Downsample]",3425,7055,23663,5501,0.3268129770992366,0.3837105086264844,0.7703300996158604,0.3529836133154695,0.2296699003841396,0.6162894913735155,0.5770203041211724,0.5436761483952485,0.35412084613657485,0.6832812027040662,0.6105711264689271
"Gradient Boosted [Noise + Imputation + Smart Downsample]",2923,4422,26296,6003,0.3979577944179714,0.3274703114496975,0.8560453154502247,0.35928953352590504,0.14395468454977536,0.6725296885503025,0.591757813449961,0.5294614490834433,0.36099773251626915,0.7370346080113006,0.6814690266710396
"Random Forest [Noise + Imputation + Smart Downsample]",2809,4434,26284,6117,0.38782272539003176,0.31469863320636343,0.8556546650172537,0.3474550064939081,0.14434533498274627,0.6853013667936365,0.5851766491118087,0.5189155553436209,0.3493526607979533,0.733856321259207,0.6744423245512652
"Adaboost [Noise + Imputation + Smart Downsample]",1971,3262,27456,6955,0.3766481941524938,0.2208155948913287,0.8938081906374112,0.27840949219577654,0.10619180936258871,0.7791844051086713,0.55731189276437,0.44425981962624317,0.2883917388839833,0.7422813036020584,0.6334524310447204
"KNN [Smart Downsample]",3693,8237,22481,5233,0.3095557418273261,0.41373515572484876,0.7318510319682271,0.3541426927502877,0.2681489680317729,0.5862648442751512,0.572793093846538,0.5502658454590524,0.3578744096054506,0.6602260115023711,0.6005232750732954
"Multiclas",1901,2567,28151,7025,0.4254700089525515,0.2129733363208604,0.9164333615469757,0.2838584440794385,0.08356663845302428,0.7870266636791395,0.564703348933918,0.4417871325926104,0.30102120741085875,0.758046614872364,0.6713803348135932
"Naives Bayes (NR + IMP + DS)",6895,17678,13040,2031,0.2805925202457982,0.772462469191127,0.42450680382837425,0.4116540792262456,0.5754931961716258,0.22753753080887296,0.5984846365097507,0.5726391305819917,0.4655611571272142,0.5028503682776713,0.6356286244268824
"MLP WEIGTH",2148,3968,26750,6778,0.3512099411379987,0.24064530584808425,0.8708249234976235,0.2856003191065018,0.12917507650237645,0.7593546941519157,0.5557351146728539,0.45777716200704044,0.29071811725800883,0.7289375441428716,0.6429926633637141
